request_id,mol_id,canonical_smiles,isomeric_smiles,program,method_family,theory_level,basis_set,solvation_model,status,recommended_next_action,notes
qreq_2e94299e8e727dc4,mol_fwxrpysnfkxvdh-uhfffaoysa-n,O=C(OC(F)(F)F)C(=C(F)F)C(F)(F)F,O=C(OC(F)(F)F)C(=C(F)F)C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_5304850a0386b4cf883d priority_score=0.756333; completed quantum pilot results already ingested
qreq_4cee2f484417d0b2,mol_hfkuivqrsxqtsm-uhfffaoysa-n,O=C(C(F)(F)F)C(F)(F)OC(F)=C(F)F,O=C(C(F)(F)F)C(F)(F)OC(F)=C(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_d73e07185accd3046347 priority_score=0.756333; completed quantum pilot results already ingested
qreq_b7281eb1727b34d6,mol_mkkbtzkxzblelb-uhfffaoysa-n,O=C(OC(=C(F)Cl)C(F)(F)F)C(F)(F)F,O=C(OC(=C(F)Cl)C(F)(F)F)C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_b0e99d247d668876f783 priority_score=0.756333; completed quantum pilot results already ingested
qreq_05a1822aeefacb0b,mol_muibxhgdurlwmi-uhfffaoysa-n,O=C(OC(F)(F)C(F)(F)F)C(F)=C(F)F,O=C(OC(F)(F)C(F)(F)F)C(F)=C(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_b0e957bb91c7a75a7968 priority_score=0.756333; completed quantum pilot results already ingested
qreq_42166169231b1057,mol_rbdjhtgmurcjgi-uhfffaoysa-n,O=C(OC(=C(F)F)C(F)(F)F)C(F)(F)F,O=C(OC(=C(F)F)C(F)(F)F)C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_4548ecd5a93d23ef84b9 priority_score=0.756333; completed quantum pilot results already ingested
qreq_b6392ce81d10bdd0,mol_ursfcfgxrvafpu-uhfffaoysa-n,O=C(C(F)(F)F)C(F)(F)OC(F)=C(F)Cl,O=C(C(F)(F)F)C(F)(F)OC(F)=C(F)Cl,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_ef73324f22d7156b86ec priority_score=0.756333; completed quantum pilot results already ingested
qreq_d9d32a674b0b3d13,mol_xhhunbuqsrosdj-uhfffaoysa-n,O=C(OC(=C(F)F)C(F)(F)Cl)C(F)(F)F,O=C(OC(=C(F)F)C(F)(F)Cl)C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_d054fbfa16986eabc595 priority_score=0.756333; completed quantum pilot results already ingested
qreq_b784b489ec4f0a22,mol_xobvbygwtcinea-uhfffaoysa-n,O=C(OC(F)(F)C(F)=C(F)F)C(F)(F)F,O=C(OC(F)(F)C(F)=C(F)F)C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_aab1f5c7fd198bbb85c0 priority_score=0.756333; completed quantum pilot results already ingested
qreq_77f193b5f134a734,mol_gxfwsjyobphqbb-uhfffaoysa-n,O=C(OC(=O)C(F)=C(F)F)C(F)=C(F)F,O=C(OC(=O)C(F)=C(F)F)C(F)=C(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_f1899517f0c1051a8142 priority_score=0.755667; completed quantum pilot results already ingested
qreq_64f92d7094758c98,mol_iezzxncimbpklo-uhfffaoysa-n,N#CC(SC(F)(F)F)=C(Cl)C(F)(F)F,N#CC(SC(F)(F)F)=C(Cl)C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_733250bae7e515ed5c50 priority_score=0.755667; completed quantum pilot results already ingested
